Bubble_Threshold,Momentum_Lookback,Hold_Period,Top_N,Total_Return,Annual_Return,Sharpe_Ratio,Max_Drawdown,Win_Rate,Data_Points
-0.6,10,24,10,-0.6000099855409629,-0.11625874369736833,-6.587529588965973,-0.6072498012155619,3.1012145748987856,12350
-0.6,10,40,5,-0.590656936420515,-0.11349931549870063,-6.606332585075891,-0.592873543134492,2.943084157613102,12334
-0.5,20,24,5,-0.7769860089815637,-0.183221593097309,-6.617128971221506,-0.7900293696183309,4.586709886547812,12340
-0.5,10,16,10,-0.7656237551166195,-0.17772872698387376,-6.901859770946777,-0.7706738752360083,4.69331607056158,12358
-0.6,30,40,5,-0.6185267596624511,-0.1218905441341458,-6.967637017248447,-0.6203408574061682,2.5661848302744845,12314
-0.5,20,16,10,-0.7857744807701142,-0.18763883570768303,-7.0259449691885445,-0.7968224593591259,4.56754130223518,12348
-0.5,30,16,10,-0.7892758672064975,-0.18944247854671203,-7.074853604957287,-0.8033923803369982,4.5793483546766085,12338
-0.6,20,40,5,-0.62604653716378,-0.12424539948240776,-7.105478497682829,-0.6296380253568223,2.4342745861733204,12324
-0.5,20,24,10,-0.7756041050774742,-0.1825407760921145,-7.944461345403269,-0.7859131643160426,4.1491085899513775,12340
-0.5,30,24,10,-0.7809692634648722,-0.1852046339443394,-8.053282010877858,-0.7925460245322279,3.860502838605028,12330
-0.5,10,40,5,-0.7459935607613638,-0.1687597498588379,-8.298163535540509,-0.7495209162645845,4.0051889087076376,12334
-0.5,10,24,10,-0.7718072798169393,-0.18068871057642766,-8.352971567033196,-0.7775132570532082,4.226720647773279,12350
-0.6,10,40,10,-0.625514825984268,-0.12407755183108748,-8.36814193674471,-0.6273394529909866,2.424193286849359,12334
-0.6,30,40,10,-0.64141694030719,-0.1291890188521878,-8.435954561880333,-0.6421470399515505,1.9083969465648856,12314
-0.6,20,40,10,-0.6366665004521792,-0.1276418630063696,-8.506862547225287,-0.6390628008390005,1.9717624148003894,12324
-0.5,20,40,5,-0.7856515069261056,-0.18757595398233806,-8.988136640522368,-0.7883155689624001,3.302499188575138,12324
-0.5,30,40,5,-0.7891144735818301,-0.189358773109651,-9.152347694900229,-0.7908127457773882,3.370147799252883,12314
-0.5,10,40,10,-0.7771274581481324,-0.1832914860322522,-10.335935389146327,-0.779735509274854,3.2754986216961246,12334
-0.5,20,40,10,-0.7912173302047555,-0.19045377281540543,-10.518990570460021,-0.7927198393240626,2.718273287893541,12324
-0.5,30,40,10,-0.8005557441109462,-0.1954348232144315,-10.754315183494642,-0.8011845930810375,2.655514049049862,12314
