UnivSize,MA_h,Threshold,Hold_h,TopN,Sharpe,Sortino,Ann_Ret,MaxDD,Total_Ret,Win_Rate,Trades
60,156,-0.2,52,3,0.9663333917404667,1.5173547668416756,0.3070662446154342,-0.9999818520901197,6.281854900885663,0.5121062781229913,4667
20,208,-0.2,52,10,0.9630179904383573,1.6057886979615172,0.6617220719224439,-0.9678045713377325,42.17595303882261,0.5182957393483709,1995
20,208,-0.2,52,5,0.9630179904383573,1.6057886979615172,0.6617220719224439,-0.9678045713377325,42.17595303882261,0.5182957393483709,1995
80,52,-0.6,26,5,0.94672284687089,1.4344925639212143,0.5559510606862956,-0.9912094395314467,25.514108782251114,0.5077977720651242,5835
80,52,-0.8,52,3,0.9463822189697316,1.5649004211107773,0.5389115527529182,-0.9982144601306083,23.435474873826642,0.5176087599881621,3379
60,52,-0.4,26,5,0.9456489021671408,1.4231650795281254,0.4867407323982127,-0.9970586935835852,17.922097725734783,0.5036231884057971,6348
80,208,-0.4,52,10,0.9401895615814276,1.4859921060035013,0.33082304958529907,-0.9998387356808979,7.322243385747763,0.5090868794326241,4512
40,52,-0.8,52,5,0.9382843504781291,1.492827179322636,0.5758134682041358,-0.981684809279805,28.128651759670465,0.5205408216328653,1923
80,156,-0.6,52,3,0.9360506407486991,1.4627385798737542,0.45427856994993077,-0.9974590513182138,15.065179896758117,0.5095148753685339,3731
60,156,-0.2,52,5,0.9327568353299861,1.4535974826905813,0.2590503804854565,-0.999983696393865,4.517338182877903,0.5131841347219145,4513
80,52,-0.4,26,3,0.9313977617861653,1.3592199123312199,0.4177034354342579,-0.9991925985527493,12.300539052378488,0.505533199195171,7952
20,208,-0.2,52,3,0.9313901874485928,1.5483956277230533,0.5992877257564342,-0.9678045713377326,31.503656649069896,0.5185,2000
80,156,-0.6,52,5,0.9261971155420167,1.4554187430104066,0.4465087809826047,-0.9991424537798005,14.439614993710693,0.5087768180551686,3589
60,156,-0.4,52,5,0.9251808643932148,1.4471408625241269,0.3323678926884739,-0.9988274254509958,7.3941353054956025,0.5120481927710844,3818
80,52,-0.8,52,10,0.9158272149112352,1.5435208647318872,0.5078191094585123,-0.9970270809143287,20.003859807181055,0.51104,3125
60,52,-0.4,26,10,0.9157256640701358,1.371100807584102,0.430891510651491,-0.9958106012722551,13.245696124059402,0.5043394406943105,6222
