ma_window,bubble_threshold,mom_lookback,hold_hours,top_n,total_return,annual_return,sharpe,max_drawdown,win_rate,n_trades
1000,-0.3,6,4,5,-0.3745099119696709,-0.11491122593204017,-2.46385237622004,-0.3852901862043919,4.3737574552683895,511
500,-0.7,13,13,5,-0.09100999238458696,-0.02451820232080737,-2.494509975105255,-0.09224303473198425,0.43807919123841615,93
1000,-0.5,6,4,10,-0.28784335920316295,-0.08452268603062096,-2.495579685325956,-0.2885093196751558,2.959787711777914,387
1000,-0.5,13,26,10,-0.05333681851654459,-0.014158114776568143,-2.501814421955564,-0.05333681851654459,0.4637143519591932,69
1000,-0.7,13,13,10,-0.07665897309811054,-0.020534882512906916,-2.5257599096734094,-0.07665897309811054,0.45071526553008034,79
252,-0.5,26,4,5,-0.35389400890416245,-0.1074128992294453,-2.540028568621407,-0.3822761613202318,3.5846516324469877,538
1000,-0.3,6,8,5,-0.19179256715583426,-0.0538889683179925,-2.545783904499463,-0.2027915405400167,2.255460588793922,264
1000,-0.7,26,8,10,-0.12042319196662066,-0.032829937566566936,-2.5462538075243715,-0.12226601782761704,0.6553585196607555,124
252,-0.5,6,8,5,-0.22175653511641147,-0.06314206549357149,-2.5542129759958203,-0.23947243615297142,1.924473493100944,292
252,-0.5,26,26,5,-0.0851232911549783,-0.02287867975812452,-2.583855806375978,-0.09075508782601971,0.6206040546131568,108
1000,-0.5,6,8,10,-0.1691804270011923,-0.04707283514969074,-2.586921279505993,-0.1691804270011923,1.484190148419015,201
252,-0.7,6,13,10,-0.10084967957167168,-0.0272763088462481,-2.5952636426934643,-0.10684364442862893,0.4675157182008705,112
1000,-0.7,26,4,5,-0.24468027565613149,-0.07040070334073267,-2.605221178873839,-0.2458018350501543,1.5473527218493661,232
252,-0.5,13,4,5,-0.3819141866447424,-0.11764890649381499,-2.6098230049761604,-0.40365425816632783,3.5005048805116123,538
252,-0.7,26,26,10,-0.05179030298368803,-0.0137393917007399,-2.616019311213048,-0.054421885770298384,0.23997257456290708,68
252,-0.5,13,8,5,-0.2173426454444336,-0.06176265444066198,-2.6293687044055933,-0.2326256040555018,1.888162672476398,292
252,-0.7,6,26,10,-0.05291305442437533,-0.014043329245832181,-2.6329317276782476,-0.055537116382916474,0.2056907781967775,68
500,-0.7,13,8,10,-0.13096536859108543,-0.035859062665860364,-2.6359838992891715,-0.13535272039115076,0.5753739930955121,139
252,-0.5,26,8,5,-0.20699184264123316,-0.05855029231474718,-2.6362380854981087,-0.2212123231579144,1.9607843137254901,292
500,-0.7,13,13,10,-0.08061544111993724,-0.021628454029582134,-2.6408208841210836,-0.08183633023641756,0.40438079191238413,93
1000,-0.7,26,13,10,-0.07746447778985754,-0.020757243315919216,-2.671542720321874,-0.07746447778985754,0.3527336860670194,79
1000,-0.5,26,13,10,-0.10105604524495204,-0.02733439259544934,-2.6793495985736193,-0.10154107403322354,1.0161254694057875,127
