ma_window,bubble_thr,mom_lb,hold_h,top_n,annual_ret,sharpe,sortino,max_dd,win_rate,n_trades,total_ret
500,-0.7,52,65,20,0.11197255638616999,1.3662323524625906,3.3654130638316144,-0.0471366611214884,69.44444444444444,36,0.8602031982952771
252,-0.15,3,104,20,0.20125936999984062,1.3638274712592409,3.0785062487113994,-0.16475158584387606,60.65573770491803,61,1.922266788161679
500,-0.7,26,65,20,0.1211350539910383,1.3635847614466028,2.808024836887984,-0.06979679506843883,75.0,36,0.9516504297136468
252,-0.6,20,130,20,0.18883042052656318,1.3630769830585454,4.402415416171123,-0.11978308094539769,66.66666666666666,36,1.7498242215169628
500,-0.8,78,130,20,0.11979059534924796,1.3611927443619796,6.669591389660411,-0.026903884321451188,80.0,15,0.9380033339915563
252,-0.1,26,104,20,0.21389071709793828,1.3608496263694985,3.0111764890299657,-0.17822956082304764,63.49206349206349,63,2.1066075434036735
252,-0.1,3,104,5,0.30808369340451436,1.3606663082655488,3.9467616548101616,-0.15737908682309676,58.730158730158735,63,3.8093937842171943
252,-0.15,10,104,20,0.2271053584131788,1.35947960816458,3.607438464467087,-0.14104105170437997,60.65573770491803,61,2.3096757960205765
2000,-0.6,13,40,10,0.07979479382472632,1.3589709218172654,0.0,-0.02077026090025913,91.66666666666666,12,0.5666830742625635
252,-0.15,52,104,20,0.21934830603819422,1.3589230260218512,2.9823330929945273,-0.12175408318387082,62.295081967213115,61,2.1891834204781317
500,-0.8,40,65,5,0.1698291069417801,1.3572785082859489,4.255326635967562,-0.05456096103787422,69.56521739130434,23,1.5025530171013655
252,-0.2,78,65,5,0.37973214579254044,1.3571173138084065,2.9701995330796316,-0.2037792371253978,61.79775280898876,89,5.569416234628711
2000,-0.6,20,40,5,0.10235934902789134,1.3568820394843646,20.162003490283364,-0.017420677304267884,75.0,12,0.7681051899093854
252,-0.15,3,104,10,0.23767724010710567,1.3562906708821783,2.9038047640836253,-0.1954511217823336,65.57377049180327,61,2.4799472947560304
2000,-0.6,10,40,20,0.05947226506543779,1.35559744020736,0.0,-0.02084829641878605,91.66666666666666,12,0.40192626296537415
2000,-0.5,13,104,20,0.11993907048312957,1.3551721323313113,6.254666662076373,-0.037216147243976594,75.0,12,0.9395065522410384
2000,-0.5,10,130,10,0.10540546741389689,1.3541686544012033,0.0,-0.06070124155282974,90.9090909090909,11,0.7968693887257279
2000,-0.5,26,104,10,0.0966141291294551,1.352916637663381,0.0,-0.02096687613427639,91.66666666666666,12,0.7148921553221539
252,-0.2,40,104,20,0.23703112798591053,1.3524475257863346,2.7595409832611386,-0.15192054254206522,62.71186440677966,59,2.469336824655897
500,-0.8,20,52,10,0.10701237767109051,1.3508258371660957,2.985755988204465,-0.044625790625810624,84.61538461538461,26,0.812198891101193
252,-0.15,40,104,20,0.2260969646351545,1.3490671232842053,3.3630360902482037,-0.11158815169232117,63.934426229508205,61,2.293802039075955
252,-0.4,13,78,10,0.20674737300456458,1.3489066298479557,2.958953504293291,-0.1441356101719199,64.51612903225806,62,2.001210847788558
500,-0.9,52,52,10,0.04463952225159562,1.3486048825236328,3.6443348257741333,-0.01777253469824791,83.33333333333334,12,0.2909717824955391
500,-0.8,40,104,20,0.0856524697627008,1.3478174984446112,4.551317540999939,-0.051570569932460675,83.33333333333334,18,0.6170434949345178
500,-0.7,78,40,10,0.13374481585799192,1.345613088554606,3.863892316371286,-0.07179709575620485,68.75,48,1.0835707124431488
500,-0.2,52,104,5,0.3440202370119987,1.34538842948597,4.841979113253359,-0.17356607519995249,64.58333333333334,48,4.635383720050096
2000,-0.5,20,130,10,0.10953740546398527,1.34534314992839,5.758680932731623,-0.03434406763315201,81.81818181818183,11,0.8365059375622546
252,-0.6,40,78,10,0.18806703449177653,1.345308619487613,2.4992702622179666,-0.1184695018438634,72.22222222222221,54,1.7395140879764233
2000,-0.5,78,65,20,0.09500007987227499,1.3451964582761033,3.997001129689471,-0.0402359010875224,81.25,16,0.700183889422727
252,-0.7,78,52,5,0.27639736656006164,1.3403880560373618,2.567983647230154,-0.14158643687132655,68.42105263157895,57,3.166877791017609
500,-0.7,20,104,10,0.0963859696425875,1.3395710455359517,3.4580514684747707,-0.053204210798485474,73.07692307692307,26,0.7128066394296035
500,-0.1,78,65,5,0.35354670095799157,1.3367296671767643,3.3559177318209343,-0.16803027886397903,65.38461538461539,78,4.873027224900661
252,-0.15,3,130,10,0.2808814464012459,1.3365636421015763,2.0869076944788145,-0.22435805084868432,61.53846153846154,52,3.2532170840791936
500,-0.8,6,104,20,0.10008480458572477,1.3352298528426507,3.8253762906319615,-0.03875664791464817,72.22222222222221,18,0.7468767286767042
500,-0.2,10,130,5,0.3015668715464155,1.3341953530533677,6.26065638358895,-0.22509622809135643,69.23076923076923,39,3.6709546595981406
252,-0.15,20,104,10,0.23147282504237543,1.3337206346763677,3.213619535866365,-0.12119417805718335,63.934426229508205,61,2.3791609502176634
252,-0.1,6,104,20,0.2635565480107709,1.330903643062878,3.2472090265205424,-0.13328626313581549,63.49206349206349,63,2.92763128891029
2000,-0.5,3,40,20,0.07312203955356744,1.3302135229630094,5.4139063525872535,-0.023188540548086167,70.0,20,0.5109062979714767
252,-0.7,40,65,10,0.18308764968248803,1.329994701734357,2.7275128162111555,-0.11086047353787087,76.59574468085107,47,1.6730467290387838
500,-0.3,13,130,10,0.22819732326732622,1.3271722936185548,3.8568208036511176,-0.21707685308620217,71.42857142857143,35,2.326936565282442
252,-0.2,52,104,5,0.37631599432554697,1.3262128085284919,3.6156257243891496,-0.16136628987905,67.79661016949152,59,5.474863506754416
500,-0.8,78,65,10,0.10153030174430033,1.3258814812810389,2.854918566963026,-0.056671609938144685,78.26086956521739,23,0.7603430128462414
252,-0.1,3,104,20,0.2650932627704248,1.3230866525742304,4.149880952164426,-0.13606488771277903,65.07936507936508,63,2.9556482320302666
500,-0.8,26,130,5,0.1354980467388227,1.3224980750781845,8.644541153012907,-0.04061457735049678,73.33333333333333,15,1.1024841821219922
2000,-0.15,10,65,5,0.13119393197869544,1.3218698228499293,1.6765343394900178,-0.15265413050908916,78.57142857142857,28,1.056304400740372
252,-0.6,2,130,5,0.27489578411470905,1.320177697720584,2.2866598394372506,-0.23219951035062747,69.44444444444444,36,3.1382922309337253
1000,-0.8,3,130,5,0.09021967391131192,1.3193401099395954,13.323928673178546,-0.021044967431438022,72.72727272727273,11,0.6572338988617099
2000,-0.5,3,20,10,0.08865363901292334,1.3177834794685035,2.260076474201226,-0.04919107055664074,76.47058823529412,34,0.6433609045304931
252,-0.2,6,130,20,0.258841404539613,1.3169712078379343,2.5515831652121346,-0.30675950543560093,66.0,50,2.8426908384227687
252,-0.15,40,104,10,0.2784864761207866,1.3168481922222481,3.272341047765353,-0.13249225511053087,65.57377049180327,61,3.2069202138764057
2000,-0.6,20,20,5,0.0983994402865278,1.3157518756932811,2.2217366156363143,-0.07256515866518021,75.0,20,0.7312837799266514
252,-0.15,26,104,10,0.27618009469211047,1.3143914416759608,3.4843941564896093,-0.16489087297523708,60.65573770491803,61,3.1627314961173765
