MA_h,Threshold,Hold_h,TopN,sharpe,sortino,maxdd,ann_ret,total_ret,win_rate,active_days
104,-0.7,13,20,2.166646062426675,3.286605318625001,-0.10011773276674962,0.28687871774954954,5.488179415297651,0.5521594684385382,1505
52,-0.8,13,10,2.1608713504893062,3.4836569559106363,-0.09590581873976456,0.28467637861985007,5.406305592602834,0.5437415881561238,1486
208,-0.9,2,20,2.1596445707198964,3.898396272942387,-0.12245531261095144,0.3306470840522451,7.314088422888757,0.5214395099540582,1306
156,-0.9,8,10,2.1522637064847867,3.1870256117534708,-0.1167179155942345,0.34353618148200016,7.930044423611482,0.5549132947976878,1384
208,-0.9,8,10,2.1452635548388033,3.3970000147367063,-0.12904538898276496,0.35940010150175494,8.742046385433026,0.5491923641703378,1362
208,-0.8,26,10,2.1415472991713442,3.3963721175728225,-0.10078881619566626,0.3419947789860407,7.854364412093583,0.5560716655607166,1507
156,-0.9,6,10,2.133961926797163,3.2762038619835385,-0.11743161968306881,0.35351629190000344,8.43372983258647,0.5544848035581913,1349
208,-0.9,6,5,2.1335555850441548,3.3837811591911287,-0.13048849433041387,0.3782856685950533,9.791331965170228,0.5509745127436282,1334
156,-0.8,4,20,2.1252582285750763,3.511247285239148,-0.07877451219992282,0.2329209953272633,3.7228376590955428,0.547143840330351,1453
208,-0.9,4,5,2.122637788412779,3.4389584521688374,-0.12968642055957447,0.33502048275542395,7.5188318444067015,0.5533686601059803,1321
104,-0.7,8,20,2.120409764731482,3.157945510682162,-0.07927150444064712,0.23725986881444938,3.8474635198886658,0.5518394648829431,1495
104,-0.8,13,5,2.114665280798253,3.295774535560024,-0.11936362227820119,0.3003277730401379,6.0080814757065415,0.550773369199731,1487
156,-0.8,8,10,2.1113383327925543,3.1981149962463107,-0.09065095547603497,0.25712897168573945,4.455216983251554,0.5594262295081968,1464
52,-0.8,26,20,2.1025909134774845,3.209187933516092,-0.12385382225488706,0.2936472124353531,5.745496758522035,0.542136695421367,1507
156,-0.9,13,20,2.0995040288050344,2.7270349347458263,-0.13517213767962266,0.4095272024831742,11.742233009721323,0.5521428571428572,1400
156,-0.9,2,10,2.0881244762572795,3.574942460682214,-0.10341380785731025,0.31472936286236153,6.604394987208867,0.528344671201814,1323
104,-0.8,4,20,2.084402688156752,3.5813800540134473,-0.06002277645750942,0.23057062215651847,3.6564925546604297,0.5419795221843003,1465
156,-0.9,26,20,2.0796416068054926,2.970745509568212,-0.13507442641063927,0.3741731785139595,9.554878431055561,0.5562456866804693,1449
208,-0.8,6,10,2.052408466908379,3.220934086503477,-0.09582007477623211,0.2476953376378772,4.158915452835439,0.546896551724138,1450
52,-0.8,6,20,2.0507917877518484,3.423056654963249,-0.06682085809126193,0.22551697367308665,3.5165658211723585,0.5513256288239293,1471
156,-0.9,8,5,2.0506064231589676,3.0366473920435753,-0.13443570771148827,0.32945048092393425,7.258816057584456,0.5484104046242775,1384
156,-0.9,26,10,2.047175913351601,2.918786961295098,-0.1370024342416245,0.36759144277733724,9.185776635350047,0.556935817805383,1449
156,-0.8,6,10,2.0410000248985423,3.2720245118368507,-0.09977175786342085,0.2420300885764981,3.987752803435317,0.5426409903713892,1454
208,-0.9,8,5,2.0372362540794846,3.211888711879467,-0.14341099564787219,0.3412669315553829,7.8188217434797735,0.5462555066079295,1362
208,-0.7,26,20,2.0361270118792905,3.132527873261214,-0.10776804279096763,0.3087146999142145,6.350220411773326,0.5613456464379947,1516
104,-0.8,26,10,2.0351820927845927,3.144822981250587,-0.12123648917622853,0.30721229099520486,6.287889511929417,0.5419141914191419,1515
208,-0.8,8,10,2.002679108687906,2.957983193175524,-0.09200037076944523,0.24604747018451278,4.108612724284583,0.5534979423868313,1458
104,-0.8,6,10,1.9987533877651613,3.353992854353744,-0.0712265500096877,0.2410795647900481,3.9595216590811297,0.5342837746096402,1473
104,-0.7,26,10,1.9985789558046552,3.04906821433777,-0.11308288504284225,0.30016480239372023,6.001572096519374,0.5450391644908616,1532
208,-0.9,2,10,1.9969997644518938,3.546650344965181,-0.12569317667626778,0.3034621899715808,6.134299231557064,0.5176110260336907,1306
156,-0.9,13,10,1.9959522245786303,2.5964846074098884,-0.14412103803803433,0.386795162057876,10.29518937125619,0.545,1400
156,-0.8,26,5,1.9923441133374213,3.0879837302901856,-0.12114604604481227,0.3080682164486357,6.323343257422202,0.5370741482965932,1497
156,-0.7,26,10,1.984523979129697,2.9767557022197457,-0.10971885886440791,0.3009226862643639,6.031887980752219,0.5593667546174143,1516
26,-0.8,13,20,1.9758017802429113,2.5827078795533214,-0.1236635538097206,0.265866480207938,4.7426734654114915,0.550561797752809,1513
52,-0.7,8,20,1.9741205804587865,3.0746398432565822,-0.07776294515971638,0.21538347511940636,3.2469101543957892,0.5338196286472149,1508
52,-0.7,26,20,1.9728042134654915,2.990142342997284,-0.11233721093478721,0.27897614934577164,5.1985320563632875,0.5432098765432098,1539
156,-0.6,13,20,1.964189635752901,2.9485419850248076,-0.11552117439157772,0.2561808272689463,4.424786082418063,0.5610889774236387,1506
156,-0.9,26,5,1.957670569193946,2.8033338216417834,-0.14569064220445227,0.3502314828872892,8.265303493808842,0.5500345065562456,1449
104,-0.7,6,20,1.9537796591255385,2.927550344733236,-0.07525508347906673,0.21263299488087295,3.1761683458480734,0.5452109845947756,1493
104,-0.6,13,20,1.9510889890589533,2.870878546263952,-0.09947515126364803,0.25254097059121294,4.30932388734552,0.5467105263157894,1520
52,-0.6,13,20,1.9418153008516421,3.013278787662669,-0.08287668362982181,0.24264867810686064,4.006199880273085,0.5303030303030303,1518
156,-0.9,6,5,1.941471979505139,2.9464493204380853,-0.12770868392869994,0.31805809341393276,6.748305849618225,0.5507783543365455,1349
52,-0.8,4,20,1.9414051997385038,3.3864627598399535,-0.057639038692127054,0.21080827952049264,3.1298015604731173,0.5305706521739131,1472
208,-0.9,13,20,1.9402902243534208,2.6903039972792957,-0.1513099040376097,0.3909914283994973,10.55105955411062,0.5506512301013025,1382
208,-0.7,13,10,1.9297186707331468,2.95768742172037,-0.11952582589088023,0.26113130932592576,4.585306249703171,0.5503669112741828,1499
208,-0.6,13,20,1.9294262256233312,2.864254352972859,-0.14912711355644037,0.257381405410567,4.463343748113409,0.5480895915678524,1518
208,-0.7,26,10,1.9281378486050633,2.9240633747904843,-0.11091966861059066,0.29378149304389156,5.750689711536684,0.5554089709762533,1516
52,-0.8,8,10,1.924644815597036,3.086345259832267,-0.08002836150470527,0.2151107608157139,3.239850009929211,0.5460704607046071,1476
156,-0.7,8,20,1.921792756604133,2.800797292536236,-0.0870815577348385,0.2165945825299751,3.278386842056798,0.5533199195171026,1491
104,-0.9,4,20,1.909032385315044,3.0907769190562986,-0.1453117035868584,0.2740035077118237,5.022066046578608,0.5412371134020618,1358
