Lookback,Z_Thresh,Hold,TopN,Direction,Ann_Ret,Sharpe,Sortino,MaxDD,Trades,Total_Ret
20,1.5,5,10,LONG,0.04404270648956299,0.2263092475505065,0.31467018052609524,-0.7266944,1477,2.5539289
60,1.0,5,5,LONG,0.033692359924316406,0.22185175077224437,0.32814726650355097,-0.79245734,1469,1.6509774
60,1.5,5,5,LONG,0.03320419788360596,0.22063725286247018,0.326414367844145,-0.79101956,1469,1.6143851
60,1.5,3,20,LONG,0.04438209533691406,0.21911483314057045,0.30077642840711993,-0.7745483,2448,2.5880759
120,2.0,3,20,LONG,0.039472103118896484,0.21571066748416734,0.2958565013902972,-0.88123816,2428,2.1235578
60,1.0,3,10,LONG,0.03901851177215576,0.20810029907132147,0.30010774818420594,-0.7804544,2448,2.083701
60,1.5,3,10,LONG,0.03585946559906006,0.1981476066326049,0.286352705800211,-0.7970701,2448,1.819459
120,2.0,5,20,LONG,0.031288981437683105,0.18920208110058553,0.24913765181684355,-0.7398411,1457,1.4755025
20,1.0,3,10,LONG,0.030034184455871582,0.1823222440437231,0.2553197372385931,-0.6907929,2461,1.3884034
20,1.5,3,5,LONG,0.0164947509765625,0.1814350125666544,0.2668978175572309,-0.8342591,2461,0.6182265
20,1.0,3,5,LONG,0.01634204387664795,0.18099639677893742,0.26632814684059375,-0.8376101,2461,0.6110941
60,2.0,5,10,LONG,0.02684760093688965,0.18093776098183847,0.23712779827152497,-0.72031695,1469,1.1803014
20,3.5,10,5,LONG,-0.08515727519989014,0.1774412239790882,0.2913037709449175,-0.99448574,708,-0.9270919
20,3.5,10,20,LONG,-0.08561420440673828,0.1767724092986863,0.2902718029411387,-0.9944726,708,-0.92815566
20,3.5,10,10,LONG,-0.08561420440673828,0.1767724092986863,0.2902718029411387,-0.9944726,708,-0.92815566
40,3.5,10,10,LONG,-0.02772289514541626,0.17591166213869036,0.2605468790645131,-0.9950016,729,-0.56270754
40,3.5,10,20,LONG,-0.02772289514541626,0.17591166213869036,0.2605468790645131,-0.9950016,729,-0.56270754
20,1.5,3,10,LONG,0.027700424194335938,0.1749305620680659,0.24473607643975964,-0.68149966,2461,1.2342131
20,2.5,3,20,LONG,0.01393580436706543,0.1739126035902747,0.2393174796476495,-0.89951897,2459,0.5025649
20,1.0,3,20,LONG,0.03176236152648926,0.1719135048632638,0.2279499894286792,-0.68783784,2461,1.5091562
120,4.0,3,5,LONG,-0.08078533411026001,0.1715345119824483,0.2676517334406262,-0.996544,2281,-0.9161135
40,3.5,10,5,LONG,-0.031523048877716064,0.16949327307743833,0.2512333231724926,-0.99518967,729,-0.6102967
120,4.0,3,20,LONG,-0.08272922039031982,0.16814832525518367,0.26235283872559717,-0.9965826,2281,-0.9211789
120,4.0,3,10,LONG,-0.08272922039031982,0.16814832525518367,0.26235283872559717,-0.9965826,2281,-0.9211789
20,2.0,5,20,LONG,0.02748250961303711,0.16726150657758393,0.21793669310858907,-0.727198,1477,1.2203166
60,2.0,3,10,LONG,0.022153139114379883,0.16246822588178697,0.23338504609675198,-0.8576727,2448,0.9053216
60,2.0,5,5,LONG,0.008152127265930176,0.1617385989665309,0.2323798123060115,-0.8128076,1469,0.2698151
120,1.5,5,5,LONG,0.01119232177734375,0.1613778034473067,0.2354585313109808,-0.7857978,1457,0.38744032
20,1.5,3,20,LONG,0.028002142906188965,0.15818420209380357,0.20973190628213823,-0.6881341,2461,1.2535961
120,1.0,5,5,LONG,0.009955525398254395,0.15794164505725267,0.23024270647382292,-0.7910716,1457,0.3383683
120,4.0,5,20,LONG,-0.08865034580230713,0.15696814829004538,0.23790012356651644,-0.9928124,1400,-0.9348528
120,4.0,5,10,LONG,-0.08865034580230713,0.15696814829004538,0.23790012356651644,-0.9928124,1400,-0.9348528
120,4.0,5,5,LONG,-0.08930015563964844,0.15597095826560853,0.2363549923420627,-0.9930018,1400,-0.93620574
20,2.5,3,5,LONG,-0.004133045673370361,0.1501468273961866,0.21368054057858077,-0.93196905,2459,-0.114718676
20,1.0,5,5,LONG,0.0053920745849609375,0.14865697382436832,0.2122925527177474,-0.74477684,1477,0.17141676
20,1.5,5,5,LONG,0.005148172378540039,0.14802706977118096,0.21139363057869673,-0.7447767,1477,0.1630832
20,2.5,3,10,LONG,0.0032744407653808594,0.14731063197487917,0.20325888384855517,-0.91030467,2459,0.10095751
40,1.5,5,5,LONG,0.004079937934875488,0.14483115665505295,0.21338429965620567,-0.8177501,1473,0.12726176
40,1.0,5,5,LONG,0.003847956657409668,0.14420870912503708,0.21245592657213863,-0.8177501,1473,0.11962247
60,2.0,3,20,LONG,0.018015503883361816,0.13946006860350008,0.1943557738399331,-0.8549515,2448,0.6909895
60,2.0,5,20,LONG,0.01636528968811035,0.13733820076063377,0.17512463632931016,-0.7476513,1469,0.61217725
120,2.5,5,20,LONG,-0.005463719367980957,0.13720309442258824,0.19127382678838878,-0.97216624,1456,-0.14886838
20,2.0,3,5,LONG,-0.004412174224853516,0.1321396797489996,0.1905885852180735,-0.87171936,2461,-0.12198979
120,2.5,5,5,LONG,-0.01654428243637085,0.13208884186033074,0.19250562077909744,-0.9723527,1456,-0.3878755
120,2.5,5,10,LONG,-0.008161544799804688,0.13161465764936797,0.1843074018926562,-0.9724393,1456,-0.2142415
20,2.0,5,5,LONG,-0.002195596694946289,0.13121937828515007,0.18653180102425826,-0.75952274,1477,-0.06262171
40,3.0,10,5,LONG,-0.01940816640853882,0.1304003643504288,0.18503571169556302,-0.9230765,735,-0.4382059
20,2.0,5,10,LONG,0.012157440185546875,0.13019233469900549,0.17680350576079043,-0.7247895,1477,0.4269302
10,2.0,5,20,LONG,0.014572501182556152,0.13003648870128778,0.16684943922883377,-0.6955789,1479,0.53057516
60,3.5,3,10,LONG,-0.07939779758453369,0.12344150275601462,0.20883190167185936,-0.99783087,2393,-0.91230714
60,3.5,3,20,LONG,-0.07939779758453369,0.12344150275601462,0.20883190167185936,-0.99783087,2393,-0.91230714
40,3.0,10,10,LONG,-0.021106421947479248,0.11911708840927532,0.16663070826869492,-0.91245687,735,-0.4661383
40,3.0,10,20,LONG,-0.022003769874572754,0.11701824364596096,0.16366846243836652,-0.91249144,735,-0.48035008
60,3.5,3,5,LONG,-0.08451920747756958,0.11610123553984909,0.19748306779019242,-0.9980695,2393,-0.9255809
120,1.5,3,5,LONG,-0.00898212194442749,0.11439032750949923,0.1771804893460265,-0.88319874,2428,-0.23314351
60,3.0,5,5,LONG,-0.04482412338256836,0.11337671474218637,0.17538493976360842,-0.9774319,1464,-0.74056244
60,3.0,5,20,LONG,-0.04000520706176758,0.11327859042050091,0.1735264377811335,-0.9657929,1464,-0.6991612
60,3.0,5,10,LONG,-0.04019683599472046,0.11298625404755233,0.17303048161531404,-0.96603763,1464,-0.7009231
10,2.0,5,10,LONG,0.00519716739654541,0.11040392714045158,0.14571837543930286,-0.8123495,1479,0.16475272
120,2.0,5,5,LONG,-0.011190712451934814,0.11021589616705679,0.15757285558461662,-0.854765,1457,-0.281865
120,1.0,3,5,LONG,-0.010541260242462158,0.10979066526114674,0.16984381219017936,-0.88734686,2428,-0.26785725
40,3.0,5,10,LONG,-0.04862338304519653,0.10954772210738105,0.1794953265569686,-0.96662515,1467,-0.7692674
40,3.0,5,20,LONG,-0.04904663562774658,0.1085471653917669,0.17780390799935802,-0.9668331,1467,-0.77226824
