ma_window,bubble_thr,mom_lb,hold_h,top_n,annual_ret,sharpe,max_dd,win_rate,n_trades,total_ret
1500,-0.9,2,4,10,0.001677449291291655,1.8827803301961032,-0.026776514697293252,39.02439024390244,41,0.009849780472223735
2000,-0.7,2,20,10,0.0001620041621763768,1.8383066411474278,-0.004479111496229593,50.0,12,0.0009477804507260768
2000,-0.8,20,8,20,0.0003523360282282617,1.8343826199057507,-0.011700244051046416,61.53846153846154,13,0.0020622390475124597
2000,-0.6,6,20,10,0.00022977647227806486,1.8237508820478436,-0.006505301491425586,55.00000000000001,20,0.00134449279794846
2000,-0.6,6,6,5,0.0023337474892468624,1.8190416992724037,-0.03874769181554083,58.18181818181818,55,0.013725308667774883
2000,-0.6,6,20,5,0.0002679138636669798,1.7938104676881272,-0.006875869865763495,55.00000000000001,20,0.0015677913370020224
2000,-0.7,2,20,5,0.0002017644859577672,1.7384975955827575,-0.005377499605298097,41.66666666666667,12,0.0011805058884386543
2000,-0.6,26,6,5,0.0013800971740893786,1.7005863786193516,-0.028150561898599546,49.09090909090909,55,0.008097924355847441
2000,-0.6,26,13,10,0.0005525042801413083,1.5771564591892442,-0.016052027813266534,41.37931034482759,29,0.0032354026496757005
2000,-0.8,3,4,20,0.0007360522962318594,1.5482470241687891,-0.019529883937957848,45.83333333333333,24,0.004312157430592656
2000,-0.5,20,13,5,0.0008600318153602071,1.523089444115756,-0.014630775788778694,48.97959183673469,49,0.0050400052224854885
2000,-0.6,6,8,20,0.0009503951788059073,1.5141448965021496,-0.013661368635236482,45.23809523809524,42,0.005570777781647385
1500,-0.9,2,4,20,0.0012822772593337195,1.4813257697884277,-0.029706257632127753,39.02439024390244,41,0.007522167348144926
2000,-0.6,2,6,20,0.0010689467411548748,1.4716532192800813,-0.01951384704603898,49.09090909090909,55,0.006267473402661983
2000,-0.8,10,4,20,0.0006779288263205618,1.4489305061918953,-0.023159371325065403,50.0,24,0.0039710818810814175
2000,-0.6,2,6,10,0.001102549019575072,1.3870811705162276,-0.02182879187566733,50.90909090909091,55,0.006465017715675092
2000,-0.5,3,13,10,0.000699461174311411,1.3514698928434097,-0.01812864472267517,57.14285714285714,49,0.0040974251033720765
2000,-0.6,3,13,5,0.0004301658962913013,1.3430893844064198,-0.013167242668745915,62.06896551724138,29,0.0025182559396128568
