lookback,sigma,flip_hold_days,top_n,Sharpe,Sortino,Total_Return,Max_DD,n_trades
60,3.0,4,20,-1.1061346086391843,-1.1918630644973545,-0.9933570731677039,-0.9938722913450069,1188
120,4.0,1,5,-1.1089378841507191,-1.0311960161471114,-0.9763876390707361,-0.9768515003518535,860
120,3.5,5,20,-1.1104327962112188,-1.1234774137747814,-0.9974761847271703,-0.997526503844809,1021
60,3.0,3,5,-1.119414865626652,-1.151630425758623,-0.9909908923429578,-0.9920542004565851,1187
60,3.0,5,10,-1.129485135756725,-1.2245006400231107,-0.9954868852951557,-0.9958323623676837,1186
60,3.0,5,20,-1.1365819270505468,-1.2350279152684478,-0.9956165275245413,-0.9959375071507393,1187
120,4.0,1,10,-1.1462821087255217,-1.0654077088077378,-0.9786589114458066,-0.9790781539225265,860
120,4.0,1,20,-1.1487979062782974,-1.0676117298523558,-0.9787911095496751,-0.9792077550145161,860
60,3.0,2,5,-1.1667826031574844,-1.2378665950429575,-0.9842284730688489,-0.9849951148504966,1187
60,3.0,3,10,-1.1745329837966103,-1.2135007915209923,-0.9926568273609703,-0.993523511981033,1187
60,3.0,1,5,-1.1766135555338793,-1.222827805066566,-0.9723257540535728,-0.9739917428915412,1187
60,3.0,3,20,-1.18518872885164,-1.2234859770132007,-0.9929357621219806,-0.9937510760093733,1188
60,3.0,2,10,-1.2088684994978312,-1.2810204246158625,-0.9862728872694764,-0.986940151650823,1187
60,3.0,2,20,-1.225685148825754,-1.298300924144786,-0.9868238449745557,-0.9874312099618123,1188
60,3.0,1,10,-1.2268652838166658,-1.2751742847201573,-0.9758491219797106,-0.9769463939252298,1187
60,3.0,1,20,-1.2340434127926163,-1.2786704071799344,-0.9761466037612001,-0.9771774695991656,1188
60,4.0,0,5,-1.2669963537892208,-1.0892899008276766,-0.9329501123338574,-0.9514814985319021,822
120,3.0,4,5,-1.306696634625287,-1.432208784432053,-0.9976755615488924,-0.9978591424271336,1195
60,2.5,4,5,-1.3090223243324635,-1.7178207595333168,-0.9904750083925221,-0.9904750083925221,1359
60,4.0,0,10,-1.3108441644266888,-1.1237075098244442,-0.9371048184389178,-0.9541154992824643,822
60,4.0,0,20,-1.3146385317101186,-1.1253743875295996,-0.9374528100612642,-0.9543693728137735,822
120,3.0,4,10,-1.3147489132570975,-1.430221220477424,-0.9977109888730915,-0.9978825951628857,1195
40,3.0,3,5,-1.3168236658090624,-1.419945541029665,-0.9942541593482978,-0.9949502132262469,1180
40,2.5,4,5,-1.3169136522112508,-1.7337026558729862,-0.9909391581950985,-0.9915828831863738,1364
40,3.5,0,5,-1.3178221456357968,-1.1807988975996215,-0.9394017267537116,-0.9524833802310415,952
120,3.5,1,5,-1.327405667346969,-1.2833345098886635,-0.9891621913501227,-0.9899455050188136,1022
120,3.0,4,20,-1.3307562161813482,-1.4467645860257947,-0.9978384059025068,-0.9980004597862783,1195
20,3.0,0,5,-1.3569671941233288,-1.272123404347636,-0.9402173278687003,-0.9505189297322688,1035
120,3.5,1,10,-1.363316652098385,-1.3176355397105453,-0.9901450487088327,-0.9908350483000515,1022
40,3.0,2,5,-1.367056556514955,-1.4924991787075812,-0.9906369307567039,-0.9912075799412834,1180
120,3.5,1,20,-1.3707128337852788,-1.325595843978995,-0.990315033148777,-0.990924168118542,1022
40,3.5,0,20,-1.374225571623608,-1.22872846521371,-0.9441136707350811,-0.9552370620143759,952
40,3.5,0,10,-1.3747804698796309,-1.2274016456961996,-0.944622418786708,-0.9557214827080099,952
20,3.0,0,10,-1.3769076679970074,-1.289640603909091,-0.9414426440509808,-0.9498009588066236,1035
20,3.0,0,20,-1.3888861487090165,-1.2992818444633127,-0.9427794256407628,-0.9506149538120409,1035
40,3.0,3,10,-1.3942000584792693,-1.4889816828228528,-0.9953682345638946,-0.9959293288386891,1180
40,3.0,3,20,-1.4018843597278348,-1.5029794521013964,-0.9953445115095918,-0.9959084796065031,1180
40,3.0,4,5,-1.4255250962897967,-1.5603501669273279,-0.9970918858619214,-0.9972024499345036,1180
40,3.0,5,5,-1.428210107773018,-1.5924509536372988,-0.9979015622978231,-0.9980449624094719,1179
60,2.5,5,5,-1.4353266389709298,-1.8722216344577158,-0.995711035642322,-0.995711035642322,1358
40,3.0,2,10,-1.442509691421166,-1.5617537498699887,-0.992357794855535,-0.9928235628660835,1180
60,2.5,3,5,-1.4517652673951114,-1.7829427363866677,-0.9903820548698038,-0.9907677033134382,1360
120,3.0,5,5,-1.4551805135201468,-1.6190920141612344,-0.9989127580950344,-0.9989562835439089,1194
40,3.0,2,20,-1.4557807486372545,-1.5780421889060567,-0.9925337648570792,-0.992988808057709,1180
