UnivSize,MA_h,Threshold,Hold_h,TopN,sharpe,sortino,maxdd,ann_ret,total_ret,win_rate,active_days
80,52,-0.8,52,5,1.5723475335848374,2.314475160478544,-0.20980711055049495,0.2787080375063782,5.1889046595595945,0.5251700680272109,1470
80,208,-0.6,26,5,1.5717815640197625,2.331287054921812,-0.1449283823277061,0.2782398945615423,5.172125529558105,0.5495557074504442,1463
20,104,-0.6,4,10,1.5710511780619827,2.354766467717075,-0.16958940458842386,0.2605029165227748,4.564705530217994,0.5415746872700515,1359
80,208,-0.8,8,10,1.5675967941168019,2.213651306815104,-0.1575591779490889,0.2722859753946265,4.9621337303888575,0.5168539325842697,1335
60,52,-0.4,26,5,1.5668333339347733,2.336033739780036,-0.19455512890982574,0.26767820256892216,4.803890215793947,0.5346938775510204,1470
20,52,-0.4,8,5,1.5654685561259558,2.3848740632525867,-0.11461958940677952,0.23715519977299837,3.844423947578461,0.5384615384615384,1456
80,52,-0.6,26,5,1.5623189011677332,2.28845591529401,-0.15441662105869736,0.25220683381646425,4.298831883131341,0.5350578624914908,1469
80,208,-0.8,8,5,1.5614807221241649,2.19043324268348,-0.16409490191744136,0.27077387344646864,4.909797608133445,0.5161048689138577,1335
80,52,-0.6,26,10,1.5596598139431925,2.268189327685431,-0.16356555272831397,0.24907486764359965,4.201355881125001,0.5323349217154527,1469
80,208,-0.6,26,3,1.5579407702792734,2.3067291242455257,-0.14296150907066174,0.2739303149395247,5.019501435547243,0.5440874914559125,1463
80,104,-0.8,26,5,1.556477645382005,2.3001051637121206,-0.20419173248226474,0.3116168500094578,6.471929688792712,0.5197779319916724,1441
60,104,-0.8,26,10,1.5548324788608427,2.2769623651978623,-0.24372449695757648,0.34407858155279225,7.956808037850891,0.5204513399153737,1418
40,52,-0.6,13,10,1.5538615577689736,1.9597298853324687,-0.20286703103467651,0.30894961836710166,6.360008119023773,0.5318275154004107,1461
40,52,-0.2,13,3,1.5519867147750863,2.4449913303737008,-0.1686658959349192,0.24831286674212882,4.177876186664833,0.5258855585831063,1468
40,104,-0.6,4,10,1.5496996425926182,2.194120450459698,-0.1724395768808139,0.2256915862389457,3.521339150469479,0.5417847025495751,1412
60,104,-0.8,26,3,1.5477911787091267,2.278513417348895,-0.25809558118175413,0.3411030941281912,7.810838180178543,0.5225669957686883,1418
60,52,-0.4,26,10,1.547717539642806,2.3318553667119377,-0.19082059978930688,0.26646763090214476,4.76292367425222,0.5380952380952381,1470
80,52,-0.4,8,5,1.5476688204146163,2.5119554253806635,-0.11265588314321962,0.1863021704490606,2.5488819554774698,0.5190735694822888,1468
40,52,-0.2,13,5,1.5475509318232865,2.386442890373657,-0.17357978009434227,0.24767617268078945,4.158327970583398,0.5231607629427792,1468
40,52,-0.4,4,10,1.545181131305249,2.475258362337545,-0.11234386337035585,0.20331197609788831,2.9439581408742788,0.5277587388622345,1459
80,104,-0.4,13,10,1.5442118167749492,2.3339901292055543,-0.17739246729646796,0.22104038543789906,3.3956701630606263,0.5326975476839237,1468
80,104,-0.6,13,3,1.5400541158246603,2.3207628933795994,-0.19136454791581115,0.24469637663820865,4.067686436318046,0.5272851296043656,1466
60,104,-0.8,26,5,1.5369789761548933,2.251199308685174,-0.25834318833180436,0.337569997346145,7.640189991578108,0.5236414961185604,1417
40,52,-0.4,8,3,1.5364228088207672,2.3800087947178206,-0.11478899085563044,0.23163678019957534,3.686486895280286,0.5249487354750513,1463
80,208,-0.6,13,3,1.533386543118612,2.337460791599385,-0.13224611907951833,0.24862152565026685,4.187375886182582,0.5311857436600411,1459
40,52,-0.6,13,5,1.5322338061731415,1.9197801455271255,-0.2106015375417667,0.302514503582731,6.095931734627868,0.5318275154004107,1461
60,52,-0.6,13,3,1.529262158996062,1.8491229069055888,-0.19970961715521962,0.26133002378948467,4.591834458948994,0.5255623721881391,1467
80,52,-0.8,4,10,1.5267916998400572,2.0782569964924047,-0.21572119556583425,0.24072045439506673,3.9488918958861223,0.5270655270655271,1404
40,52,-0.6,13,3,1.5262624393629065,1.9252486349653977,-0.20357838677265394,0.30060833111390894,6.019299801132915,0.5284052019164955,1461
80,156,-0.6,4,10,1.5214487522697484,2.4318339942539438,-0.09855585516342702,0.1707597000921659,2.2183024049807103,0.5279503105590062,1449
