Lookback,Z_Thresh,Hold,TopN,Direction,Ann_Ret,Sharpe,Sortino,MaxDD,Trades,Total_Ret
104,3.0,26,5,LONG,0.2716198561642622,0.7082845977162502,1.0879417129092779,-0.7404050637634478,369,3.0764924058469925
156,2.5,26,5,LONG,0.2334807283002076,0.703854777817132,1.1956187609241091,-0.39565113470416235,369,2.411509478884805
156,3.5,13,20,LONG,0.2849860730880569,0.7019819830014551,1.2073474387290544,-0.7543436324034369,712,3.333545203610158
156,3.5,13,10,LONG,0.2849860730880569,0.7019819830014551,1.2073474387290544,-0.7543436324034369,712,3.333545203610158
156,3.5,13,5,LONG,0.2836369894106676,0.699891489001972,1.2040216453772936,-0.7557076951574969,712,3.30700589217232
156,2.0,26,20,LONG,0.20919062142256606,0.6936700187827215,1.1876014308781386,-0.5155264566308537,369,2.0369209041682996
6,2.0,13,5,LONG,0.27733856853175,0.6908379144861484,1.1452219669792454,-0.7032288526414838,682,3.1848787248709893
6,2.0,13,10,LONG,0.27564429415486935,0.6884303392133699,1.1402336699828437,-0.6978510714366799,682,3.152521193263822
13,2.0,26,20,LONG,0.20003642583998915,0.6879991012983708,0.9842428159741805,-0.5327495663678519,374,1.90491161072101
6,2.0,13,20,LONG,0.27535435532609664,0.6879208712117364,1.1396393308170156,-0.6987981156171004,682,3.1470047342071146
52,4.0,13,10,LONG,0.282622594079019,0.685182608160277,1.1357659557632558,-0.5597928870817073,691,3.2871394715820212
52,4.0,13,20,LONG,0.282622594079019,0.685182608160277,1.1357659557632558,-0.5597928870817073,691,3.2871394715820212
52,4.0,13,5,LONG,0.282072884275848,0.6844154664180889,1.1344536758356576,-0.559946935902329,691,3.2764054600005226
156,2.0,26,10,LONG,0.20635162973398757,0.6833761490546683,1.161203759265203,-0.512764203981944,369,1.995459634449185
13,2.0,26,10,LONG,0.19704238908685645,0.6722650132679676,0.9897025721130971,-0.5491949461330652,374,1.8627826668994345
26,2.0,13,5,LONG,0.1935679685862015,0.6543937101404048,1.0280671139252742,-0.5491674459958173,747,1.8145304466913568
13,2.5,26,10,LONG,0.23011160077020687,0.6529228365894726,0.971510286636133,-0.682483226690931,373,2.357375768627898
13,2.5,26,20,LONG,0.22957782545051786,0.6519094541581649,0.9699567478646715,-0.682483226690931,373,2.348865012329911
13,2.5,26,5,LONG,0.22679681282100939,0.6465059124525564,0.9631025152307768,-0.6927926279258647,373,2.3048120680876805
26,1.5,13,10,LONG,0.17223929178829978,0.6452904534812882,0.9637797928256353,-0.5094358576605739,747,1.5328564270795182
13,1.5,26,10,LONG,0.17753114755154553,0.6363199471860985,0.9124797518024618,-0.5439284867849378,374,1.6004596210207063
13,1.5,13,5,LONG,0.1832783348809357,0.6290110493324593,0.9905714675463433,-0.516398402706997,748,1.6755672326000832
52,1.5,26,5,LONG,0.17906373524599872,0.6166154587043389,0.9328141353688727,-0.5696718802287242,373,1.620315282673669
52,1.5,26,20,LONG,0.1442016139795268,0.6110340470088151,0.8808614696532305,-0.4587656219145514,373,1.1984967642937163
52,1.5,13,10,LONG,0.1604292400307863,0.6103560643485708,0.9636851149319782,-0.40000917713758233,745,1.3872237599401718
156,2.0,13,10,LONG,0.17137120409839857,0.6090259716124004,0.9767684901599851,-0.35083949277255067,735,1.5219070511552664
104,2.0,13,5,LONG,0.17639671408500557,0.5903402024289206,0.9149234415627907,-0.4609808552113298,740,1.5858427766239478
156,2.0,13,20,LONG,0.16015455126391376,0.5790692503685878,0.9283136885764908,-0.3905624700572311,735,1.3839209985794914
13,1.5,26,5,LONG,0.16870403841335335,0.5763667280973573,0.8387784738959662,-0.5796153071297778,374,1.4885107097986765
104,2.0,26,20,LONG,0.1574855241985047,0.575642229767177,0.9532933367902149,-0.5096483365042954,371,1.352026300402282
6,1.5,26,20,LONG,0.13142379556784323,0.5722750360701626,0.8203481275958617,-0.41902150023100726,375,1.0587492127490132
13,2.0,26,5,LONG,0.1671091590776166,0.5682364573329165,0.8277968375610986,-0.5731137740962091,374,1.468716538038509
104,3.5,13,20,LONG,0.20269923633681364,0.5658591151294385,0.9968959388901406,-0.6584835748651883,718,1.942810467596927
