low_bubble_threshold,leverage_multiplier,leverage_hold_days,high_bubble_threshold,uvxy_allocation,uvxy_hold_days,Total Return,Annual Return,Sharpe Ratio,Sortino Ratio,Max Drawdown,Annual Vol
-0.88,1.2,50,0.85,0.3,40,2.274970782887141,0.041147232890914376,0.5174569441060545,14.483306482634658,-0.1810928482799582,0.07951817703789693
-0.9,1.3,40,0.85,0.3,40,2.1626650482822662,0.03991310109291413,0.5174168187098559,13.488209708981186,-0.128496504430325,0.07713916449881696
-0.92,1.3,60,0.85,0.5,30,5.061369257853042,0.06316325282463375,0.5165313276699994,15.74228259803475,-0.19599547945856355,0.12228348880513086
-0.92,1.1,50,0.85,0.4,40,3.4643224869493876,0.05216900729084539,0.5159372891135655,14.97482912678988,-0.1767321587670735,0.10111501609134946
-0.95,1.1,50,0.85,0.4,30,3.5329147968378187,0.05271446369821042,0.5158375478741064,13.540856816866505,-0.23124978281508368,0.1021919864411959
-0.95,1.3,40,0.85,0.3,40,2.4550635900796265,0.043043403593727936,0.5147666162381958,12.847377647253325,-0.17507824696824725,0.08361731751036987
-0.9,1.4,50,0.85,0.3,30,2.0098493632672962,0.03816400583864854,0.5146139797768423,13.660135928092489,-0.17097330255088272,0.0741604529577646
-0.88,1.4,60,0.85,0.4,30,3.444698449626279,0.05201146418590907,0.5135045628120424,15.23341010956449,-0.16328507459043196,0.10128724835683064
-0.95,1.2,40,0.85,0.4,30,3.63713811400319,0.05352818833378814,0.5134148563393742,13.278016976294762,-0.2312497828150838,0.1042591340566999
-0.92,1.1,40,0.85,0.3,40,2.068039150085519,0.03883993618304893,0.5133837905511185,13.120725323122397,-0.1866508726388072,0.07565477698731816
-0.95,1.1,60,0.85,0.4,50,4.380683231369311,0.05886725179468022,0.5132934838298409,13.598319009122905,-0.23124978281508346,0.1146853674343448
-0.92,1.3,40,0.85,0.4,30,2.9961156541096665,0.048214028499479866,0.5125549078365693,13.671399729687755,-0.19536042858152058,0.09406607518984707
-0.9,1.3,60,0.85,0.3,40,2.3263362043688445,0.04169812181283006,0.5124060137176095,14.237455172331007,-0.16645079083456304,0.08137711247825084
