ma_window,z_window,buy_threshold,short_threshold,hold_hours,top_n,Sharpe,Sortino,Total_Return,Max_DD,n_trades,Win_Rate
100,200,0.5,0.9,8,20,-0.42125467855057724,-0.5390755429732529,-0.10074253053001925,-0.12269045359028607,396,0.5075757575757576
100,200,0.9,0.92,8,20,-0.42664427308414227,-0.43982372748699045,-0.19220190824441508,-0.21598678670862337,363,0.512396694214876
50,200,0.7,0.92,8,10,-0.4335265032777075,-0.5698965636559153,-0.14304542880187865,-0.1985583342274041,400,0.4975
100,100,0.9,0.95,8,20,-0.4346448429256485,-0.4118325314073868,-0.24987487075443426,-0.29987178141116344,333,0.4804804804804805
100,100,0.9,0.92,8,20,-0.4427648915410458,-0.5678280607690438,-0.21495124094047624,-0.31778740701358,357,0.43977591036414565
50,200,0.8,0.95,4,20,-0.46932630969327355,-0.638762869308159,-0.24432475406873533,-0.32491460686862306,776,0.4690721649484536
50,100,0.8,0.9,8,10,-0.47355688287715364,-0.686152689957597,-0.13746863397846598,-0.16795299293414245,408,0.4338235294117647
50,100,0.5,0.85,8,10,-0.47516675309098483,-0.7016795769871197,-0.09564420143734698,-0.14771065561333607,416,0.43990384615384615
100,200,0.6,0.9,8,20,-0.4760169583489631,-0.6207754635503264,-0.11416545706126657,-0.13435392017322345,396,0.5050505050505051
100,100,0.7,0.85,8,20,-0.4849436153428062,-0.847103521335755,-0.07066717932756417,-0.09793572096953673,406,0.43103448275862066
50,100,0.5,0.9,8,10,-0.4858072025884318,-0.6898963193405686,-0.13112918705582655,-0.2032222428451832,416,0.4375
50,200,0.8,0.9,4,20,-0.4931853716012777,-0.6356251222456288,-0.1946694975101868,-0.24738395962340487,789,0.4423320659062104
100,200,0.5,0.92,8,20,-0.4949040142557021,-0.6091801716293328,-0.12349935160806869,-0.16171165801190013,396,0.49242424242424243
100,200,0.5,0.97,8,20,-0.5085656059339215,-0.6323384716020017,-0.17240390939875339,-0.21672159395724644,396,0.47474747474747475
50,100,0.5,0.92,8,10,-0.5099417639462828,-0.6712131502396462,-0.15794478362101538,-0.22863815353216832,415,0.4602409638554217
100,100,0.6,0.85,8,20,-0.5151646021622637,-0.8605705149812033,-0.07568960832683214,-0.10892433201629947,409,0.4474327628361858
100,200,0.5,0.9,8,10,-0.5162471045970348,-0.7056538014695336,-0.12531859612248997,-0.16760235266712842,396,0.494949494949495
50,200,0.5,0.95,8,20,-0.5336712435884128,-0.6144628261827743,-0.17653111924603804,-0.21144192276623752,403,0.5062034739454094
100,100,0.8,0.85,8,20,-0.5355898975147754,-0.9844418842276248,-0.08178532590329002,-0.11612586938984049,405,0.41975308641975306
50,200,0.8,0.92,4,20,-0.5495735906343466,-0.7221116770082446,-0.22232897137432506,-0.2728631379936629,783,0.45338441890166026
100,200,0.5,0.95,8,20,-0.556749627051573,-0.6501852558727172,-0.16958847556053247,-0.20835871713032617,396,0.4797979797979798
100,200,0.8,0.9,8,20,-0.5658151682842038,-0.7340293155279287,-0.1577583871947229,-0.1577583871947229,390,0.4948717948717949
50,200,0.5,0.97,8,10,-0.5763809312638196,-0.7344426275055451,-0.21818580997627934,-0.26373806970225355,403,0.48635235732009924
