threshold,hold_period,top_n,annual_return,sharpe,max_dd,win_rate,total_return
-0.65,78,10,11.813742213447975,2.137512028544824,-14.645789833721334,58.69565217391305,22.609170069273276
-0.65,78,15,11.820373226262548,2.2122901838074966,-14.295559487203313,58.913043478260875,22.622443266789148
-0.65,78,20,11.631759051645707,2.218774832139271,-14.262031738799408,58.913043478260875,22.245150752507882
-0.65,78,25,11.353980615921788,2.2102024632137325,-14.290267126869672,59.34782608695652,21.690456834146723
-0.65,78,30,11.579175433884714,2.2767311867007507,-14.345214086863312,60.0,22.14005934994898
-0.65,104,5,14.673890182552785,2.913406811004886,-13.506670712287438,58.77192982456141,28.115746447640145
-0.65,104,10,13.247812472894417,2.8794187987332487,-12.778527782147576,58.55263157894737,25.247264408650018
-0.65,104,15,13.448140715106206,3.0055201865625203,-12.208769859751134,60.30701754385965,25.648459598450145
-0.65,104,20,13.386737398710856,3.0364851723720503,-12.004897693578819,60.526315789473685,25.525426840657815
-0.65,104,25,13.103965181658129,3.0112127777820614,-11.917931464304576,60.08771929824561,24.959537116360565
-0.65,104,30,13.422592502103914,3.102009499729057,-11.85528819473517,60.08771929824561,25.597262537851794
-0.55,1,5,-79.01213125641885,-5.168529558122295,-94.62982717284152,36.09341825902335,-94.59586064789546
-0.55,1,10,-77.53775817819974,-5.824162065051016,-93.91051433821026,28.237791932059448,-93.86471194692449
-0.55,1,15,-78.39574489637914,-6.445878221042845,-94.34412527009555,28.02547770700637,-94.295438623993
-0.55,1,20,-78.66935263073925,-6.648369089660071,-94.51024808147848,27.81316348195329,-94.42972557809098
-0.55,1,25,-78.44024839961583,-6.815311518405741,-94.40777902107521,25.477707006369428,-94.31738225958648
-0.55,1,30,-78.41665586204766,-6.948243213971009,-94.389793638728,26.53927813163482,-94.3057542292318
-0.55,2,5,-46.6080125208449,-2.1803466736621275,-69.5433716540626,46.496815286624205,-69.05148393086424
-0.55,2,10,-45.59664176871817,-2.507250640067088,-68.23791573559375,41.825902335456476,-67.94676552192506
-0.55,2,15,-47.29361512759319,-2.8219064005759793,-70.39701430058038,41.18895966029724,-69.79011094070474
-0.55,2,20,-47.572684666790884,-2.9396239719686625,-70.8753564739861,40.12738853503185,-70.08838681836885
-0.55,2,25,-48.724339344748635,-3.124534448508833,-72.0479724273466,40.552016985138,-71.3047283819413
-0.55,2,30,-49.420346423684755,-3.240212909090479,-72.78108465954548,39.490445859872615,-72.02843483783339
-0.55,4,5,-16.766856566575626,-0.6367541343089755,-35.52197779133316,51.167728237791934,-29.03732418138424
-0.55,4,10,-12.810999633684428,-0.5514508875293841,-33.691684669920384,48.40764331210191,-22.603721403018064
-0.55,4,15,-17.607150201618225,-0.8874332000999929,-35.56946203155471,46.92144373673036,-30.37046161923177
-0.55,4,20,-18.610456195056745,-0.9762091200669014,-36.165739167946356,45.64755838641189,-31.94681097953901
-0.55,4,25,-21.169721479690807,-1.1771165662136889,-39.09154292006999,45.43524416135881,-35.89167770243614
-0.55,4,30,-21.586707831003505,-1.2351087611929041,-40.01802647459128,45.22292993630573,-36.524037068958926
-0.55,6,5,-4.084138190061082,-0.05486654511422341,-28.06500476149819,51.70212765957447,-7.482429259305901
-0.55,6,10,-0.585296966647253,0.0790014171732354,-27.49093774412833,49.148936170212764,-1.0888609622125567
-0.55,6,15,-5.498673418277189,-0.20672915356298924,-27.995224979756927,47.4468085106383,-10.010934152256134
-0.55,6,20,-6.806224906443081,-0.29437620453665286,-27.741922311100918,48.51063829787234,-12.31927195398541
-0.55,6,25,-8.40877621725814,-0.4135333718467985,-27.74441830272407,47.02127659574468,-15.110412190867306
-0.55,6,30,-8.677062177121918,-0.44826535007188817,-27.079818749079553,47.02127659574468,-15.573587245403864
-0.55,8,5,5.317269664834168,0.3825544274135677,-22.1688828668016,52.34042553191489,10.144679597773344
-0.55,8,10,7.654574148181892,0.5284720299201,-21.421527890450175,50.851063829787236,14.747473261671384
-0.55,8,15,2.7633286924102274,0.26134336797418195,-22.020769865398783,50.0,5.215352446398791
-0.55,8,20,0.9101359111755691,0.14743271487976076,-22.530978881278763,49.361702127659576,1.704155430011145
-0.55,8,25,-0.2824700980275985,0.06142872953038219,-22.29458887282639,49.361702127659576,-0.5261853918844706
-0.55,8,30,-1.1674737432896931,-0.0005118310876163842,-22.868239930930613,48.08510638297872,-2.1664298312018215
-0.55,13,5,17.715384436915848,1.1399642226536602,-18.20751497682539,52.87846481876333,35.46543708798844
-0.55,13,10,14.730944656815549,1.0766750250724793,-18.429918602171234,51.59914712153518,29.143386578679163
-0.55,13,15,9.726223780341714,0.7880053783497319,-18.892057664315498,50.10660980810234,18.85629690019277
-0.55,13,20,7.889010624578008,0.6710135864666431,-19.62955339985427,49.46695095948827,15.179251756302193
-0.55,13,25,6.4085318183837,0.5655643385777488,-19.642623661101776,49.040511727078886,12.255123684003767
-0.55,13,30,5.133050766194658,0.477467349152995,-20.044969517392573,49.040511727078886,9.763814554137419
-0.55,26,5,17.952371248777954,1.563185414840386,-18.440908841695524,55.12820512820513,35.88438131759475
-0.55,26,10,11.39190766004534,1.088090979039083,-18.778472827645697,54.700854700854705,22.18387819720007
-0.55,26,15,7.466983648038483,0.7555734258968848,-18.940718293807667,51.70940170940172,14.3094810633124
-0.55,26,20,6.938739723158394,0.7232553966104815,-18.908746906020234,51.70940170940172,13.268192852930149
-0.55,26,25,6.519163002355888,0.6900497323391741,-18.82366964229384,50.427350427350426,12.444247166346155
-0.55,26,30,5.95378241974962,0.6437682441241842,-19.255614095798368,51.28205128205128,11.338371240823463
-0.55,39,5,16.264557489996644,1.8246334746912445,-18.036034761819963,57.93991416309014,32.1373650230439
-0.55,39,10,11.75852526072816,1.3912924755508664,-18.36204598357525,56.22317596566524,22.82334114688558
-0.55,39,15,10.021237714265375,1.2326374728775782,-18.229732202982653,53.21888412017167,19.315991873247352
-0.55,39,20,9.631846961676427,1.215755041246094,-18.50108866189675,53.862660944206006,18.536269695309503
-0.55,39,25,9.447561111908698,1.2167159307802982,-18.476861687999126,53.862660944206006,18.168071393090134
-0.55,39,30,9.238189093788773,1.215429407142931,-18.646091075221328,53.43347639484979,17.750389992664296
-0.55,52,5,15.035437773817195,2.015567535674571,-15.598691772905028,58.620689655172406,29.42181371691781
-0.55,52,10,12.155737112768072,1.7411594246868127,-15.237072187543255,56.46551724137932,23.519297878568167
-0.55,52,15,11.437976963685937,1.7015602903657268,-14.906302150566543,54.741379310344826,22.0677243507575
-0.55,52,20,11.134727428410883,1.6954058781975787,-15.217884555757133,56.03448275862068,21.45679957000548
