UnivSize,MA_h,Threshold,Hold_h,TopN,Sharpe,Sortino,Ann_Ret,MaxDD,Total_Ret,Win_Rate,Active_Days
80,52,-0.6,26,10,4.246022659111293,13.342333691723143,2381.45725876148,-0.717557846063521,1.090439807160289e+25,0.6426140231449966,1469
80,52,-0.6,26,5,4.23521026882187,13.786068159807867,2358.168335893397,-0.7205735147537287,1.0138454501757224e+25,0.6364874063989108,1469
20,52,-0.4,26,10,4.212454293499937,11.078471439927458,1208.665767312229,-0.8486558954251598,7.164555667216581e+22,0.5852660300136425,1466
20,52,-0.4,26,5,4.211821189502425,11.056078121298924,1208.7554235599591,-0.84865589542516,7.168493580030215e+22,0.5866302864938608,1466
40,52,-0.8,52,5,4.151109855442714,29.65625522305802,795411997.7100079,-0.9770163844802281,9.769662501815915e+65,0.6519073569482289,1468
40,208,-0.8,52,3,4.146205332349405,18.162529061222262,1485258.9008206113,-0.994274249703548,5.732712567753878e+45,0.584115523465704,1385
20,208,-0.4,26,10,4.14569967190167,10.402827698151844,1825.601699652274,-0.8115846343837757,1.521085057649782e+24,0.5817039106145251,1432
20,208,-0.4,26,5,4.145462309775484,10.402287828437982,1824.762249672689,-0.8115846343837757,1.5159099085073525e+24,0.5817039106145251,1432
20,208,-0.4,26,3,4.14448916859985,10.384935318699473,1826.3720788938049,-0.8093646964456157,1.5258478332763562e+24,0.5831005586592178,1432
40,208,-0.8,52,10,4.122265237771091,18.54609038805962,1669195.4834751098,-0.99218462080904,1.362360807982317e+46,0.5848375451263538,1385
40,52,-0.8,52,10,4.121274367249853,27.659652932445532,366632235.81845695,-0.9811615531976937,3.1337320872299025e+63,0.6519073569482289,1468
60,208,-0.2,52,5,4.110814255684826,25.835279741829407,74635833.34909447,-0.9493513722964126,2.3486522651737232e+58,0.6759700476514636,1469
60,208,-0.2,52,10,4.110659682962789,25.90159017251247,77977293.56146471,-0.9497504989155731,3.249680156036717e+58,0.6766507828454731,1469
40,208,-0.8,52,5,4.110415318729137,18.477031908424934,1561145.561023769,-0.9916504443572978,8.294884430481868e+45,0.584115523465704,1385
80,52,-0.4,13,10,4.066828087727309,7.923923553800649,25.466935301251464,-0.5761846411179757,35323772302.11519,0.5847515316541865,1469
40,52,-0.8,52,3,4.063012146774758,30.30092195213161,857354701.6553316,-0.9665295648215655,1.7035108584017935e+66,0.6566552901023891,1465
