UnivSize,MA_h,Threshold,Hold_h,TopN,Sharpe,Sortino,Ann_Ret,MaxDD,Total_Ret,Win_Rate,Active_Days
60,104,-0.4,52,5,5.142699829830064,21.15434874999175,37751081.53036638,-0.9552347233059207,1.5000710103979764e+56,0.6843537414965987,1470
60,104,-0.4,52,10,5.135213227219183,21.092033485784494,36514743.57654604,-0.9561163340011816,1.1719132410231755e+56,0.6836734693877551,1470
40,52,-0.4,52,5,5.128513823146239,26.01451551635424,366092722.2859677,-0.9867718196398368,3.0997035690824408e+63,0.6557823129251701,1470
60,156,-0.4,26,3,5.116786367301574,12.543447422487686,2314.236434416649,-0.8123212694508368,8.819544199482777e+24,0.6200545702592087,1466
40,52,-0.4,52,10,5.108041189379554,25.17102155829425,320081089.67484915,-0.9863800681188513,1.14511134925767e+63,0.6551020408163265,1470
60,104,-0.2,26,10,5.103099874304352,11.819711576411837,2852.5732630366306,-0.9140554248305616,4.155272882705577e+25,0.6244897959183674,1470
60,52,-0.6,26,5,5.073494320138329,13.191126263683701,2713.3161045601723,-0.7481222248030848,2.8674873488739247e+25,0.6167460857726345,1469
20,156,-0.2,52,5,5.056845122479126,18.419285069672473,3257046.584755659,-0.94501604117947,1.935212855781868e+48,0.6554564172958133,1457
20,156,-0.2,52,10,5.0561388427331,18.392813558618936,3246992.811337813,-0.94501604117947,1.891360232579027e+48,0.6554564172958133,1457
80,156,-0.6,26,3,5.052985214901996,14.166732152125158,2693.7592540405517,-0.7129311681781197,2.7178024739400965e+25,0.6328767123287671,1460
20,156,-0.2,52,3,5.0458217759665285,18.32879518388281,3117070.325231874,-0.945676723015753,1.397292282470931e+48,0.6561427590940289,1457
60,52,-0.6,26,10,5.043391796390038,13.036479629741319,2740.8676375347677,-0.7703125130420247,3.0904392679726114e+25,0.617426820966644,1469
60,104,-0.2,26,3,5.039424202285613,12.21269306963037,2317.525519328383,-0.9000174210994535,8.912861793150096e+24,0.6136054421768707,1470
60,104,-0.2,26,5,5.036303882209871,11.8015403657194,2529.454325822746,-0.9273538801435502,1.7047228662890517e+25,0.6224489795918368,1470
60,156,-0.4,26,5,5.0356943051866985,12.42144667423578,2178.756627374705,-0.8275533339960435,5.640148965126014e+24,0.6200545702592087,1466
60,52,-0.6,26,3,5.0351352878862015,13.600457285762129,2657.3850122314293,-0.7446105801544606,2.4573056992619813e+25,0.6103542234332425,1468
40,52,-0.2,26,3,5.034828096999948,13.622933559925212,9075.157532917494,-0.8649422491648616,2.209434516359823e+29,0.6346938775510204,1470
60,104,-0.4,52,3,5.0330789581150395,21.096380063611342,29319653.29278375,-0.9518695636776742,2.3028300257960538e+55,0.6802721088435374,1470
60,52,-0.6,52,3,5.028457228383284,24.789063817973776,60898269.27610939,-0.9507462441895309,5.198033586054648e+57,0.6755102040816326,1470
40,52,-0.2,26,10,5.018312612738287,13.43509457950955,10125.886075675473,-0.8480264957311835,4.977356826420394e+29,0.6401360544217687,1470
60,156,-0.4,26,10,5.0150164537430655,12.546453030121006,2238.4547620340986,-0.8238447321438019,6.891119039493112e+24,0.6207366984993179,1466
80,156,-0.6,26,5,4.989932767445945,14.453884333515017,3215.133664663964,-0.6889402502730962,1.0086150327690368e+26,0.6363013698630137,1460
40,52,-0.2,26,5,4.989135040762854,13.433594465261463,9387.943290488478,-0.8549546788381601,2.8403857264352397e+29,0.6374149659863946,1470
80,156,-0.6,26,10,4.9734748989133335,14.594529528004108,3330.40588956204,-0.6658333443526414,1.3095216151295932e+26,0.636986301369863,1460
60,52,-0.6,52,10,4.959170321242613,24.14312932249599,50041915.02049768,-0.9515228458008027,1.2123587786237534e+57,0.6687074829931973,1470
60,52,-0.6,52,5,4.958842566735193,24.568394625809358,55088202.50347228,-0.9510981213970015,2.4716223195899578e+57,0.6693877551020408,1470
40,52,-0.4,26,10,4.926576704903789,13.230720278322515,5506.56589843693,-0.8749341866156299,5.443134578895631e+27,0.6217687074829932,1470
40,52,-0.4,26,3,4.914999752344415,13.787885696141997,5888.6363452580235,-0.8630628579298989,8.949787891780757e+27,0.6149659863945578,1470
40,52,-0.4,26,5,4.896214977218227,13.381567865601001,5239.690921657102,-0.8675444945393173,3.7663300335679033e+27,0.6170068027210884,1470
40,104,-0.4,26,10,4.887670829153336,12.98030971955892,5947.735452481043,-0.8417648417847848,9.637437660478168e+27,0.6169052488070893,1467
40,208,-0.6,52,10,4.883980306553166,27.009422893500602,1396591333.1586142,-0.9866293714334364,6.345385171900751e+67,0.6468984321745058,1467
40,104,-0.4,26,5,4.870237330845405,12.93342146624029,5811.292492632267,-0.8433688454674162,8.114247579064155e+27,0.6175869120654397,1467
40,208,-0.6,52,5,4.861014910635899,26.876560943355422,1227681416.0827985,-0.9866293714334364,2.4399983571744443e+67,0.6475800954328562,1467
